,filename,artist,genre,description,phash,width,height,genre_count,subset
63069,Ukiyo_e/hiroshige_a-shrine-among-trees-on-a-moor.jpg,hiroshige,['Ukiyo e'],a-shrine-among-trees-on-a-moor,efec129a61e4cc19,2125,1382,1,train
63070,Ukiyo_e/hiroshige_a-snowy-gorge.jpg,hiroshige,['Ukiyo e'],a-snowy-gorge,afd230e9167d64b0,1382,4220,1,train
63071,Ukiyo_e/hiroshige_a-vision-of-shitamachi.jpg,hiroshige,['Ukiyo e'],a-vision-of-shitamachi,b891a5ceac137b07,1382,1491,1,train
63072,Ukiyo_e/hiroshige_alighting-geese-at-massaki-1825.jpg,hiroshige,['Ukiyo e'],alighting-geese-at-massaki-1825,adc79038c74d76c8,2024,1382,1,train
63073,Ukiyo_e/hiroshige_amanohashidate-peninsula-in-tango-province.jpg,hiroshige,['Ukiyo e'],amanohashidate-peninsula-in-tango-province,ffe493c0e8e0b0b8,1382,1999,1,train
63074,Ukiyo_e/hiroshige_ashida.jpg,hiroshige,['Ukiyo e'],ashida,ee4c9833378791b4,2122,1382,1,train
63075,Ukiyo_e/hiroshige_autumn-flowers-in-front-of-full-moon.jpg,hiroshige,['Ukiyo e'],autumn-flowers-in-front-of-full-moon,aa969d23cd72d12c,1838,1382,1,train
63076,Ukiyo_e/hiroshige_bay-at-kominato-in-awa-province.jpg,hiroshige,['Ukiyo e'],bay-at-kominato-in-awa-province,ff90c44a382f2b6c,1382,2024,1,train
63077,Ukiyo_e/hiroshige_benzaiten-shrine-at-inokashira-in-snow.jpg,hiroshige,['Ukiyo e'],benzaiten-shrine-at-inokashira-in-snow,ceb04f314f2e310f,2151,1382,1,train
63078,Ukiyo_e/hiroshige_camellia-and-bush-warbler-1844.jpg,hiroshige,['Ukiyo e'],camellia-and-bush-warbler-1844,bf485e664007792f,1382,2084,1,train
63079,Ukiyo_e/hiroshige_cherry-blossom-time-people-picknicking-at-gotenyama-1843.jpg,hiroshige,['Ukiyo e'],cherry-blossom-time-people-picknicking-at-gotenyama-1843,ea94b56b9036c03f,3502,1382,1,train
63080,Ukiyo_e/hiroshige_crane-in-waves-1835.jpg,hiroshige,['Ukiyo e'],crane-in-waves-1835,aec4d1529f4bf00e,1382,2970,1,train
63081,Ukiyo_e/hiroshige_crayfish-and-two-shrimps-1845.jpg,hiroshige,['Ukiyo e'],crayfish-and-two-shrimps-1845,b493cf65b2486633,1998,1382,1,train
63082,Ukiyo_e/hiroshige_descending-geese-katata.jpg,hiroshige,['Ukiyo e'],descending-geese-katata,bec86a123bf0c58d,2062,1382,1,train
63083,Ukiyo_e/hiroshige_drum-bridge-and-setting-sun-hill-meguro.jpg,hiroshige,['Ukiyo e'],drum-bridge-and-setting-sun-hill-meguro,eb6433cd84ece8b0,1382,2055,1,train
63084,Ukiyo_e/hiroshige_eagle-over-100-000-acre-plain-at-susaki-fukagawa-juman-tsubo.jpg,hiroshige,['Ukiyo e'],eagle-over-100-000-acre-plain-at-susaki-fukagawa-juman-tsubo,85052da5259575fb,1382,2065,1,train
63085,Ukiyo_e/hiroshige_evening-shower-at-nihonbashi-bridge.jpg,hiroshige,['Ukiyo e'],evening-shower-at-nihonbashi-bridge,aad5953a6a65855a,2047,1382,1,train
63086,Ukiyo_e/hiroshige_evening-snow-on-mount-hira.jpg,hiroshige,['Ukiyo e'],evening-snow-on-mount-hira,9a5be06f979d8484,1981,1382,1,train
63087,Ukiyo_e/hiroshige_evening-view-of-a-temple-in-the-hills.jpg,hiroshige,['Ukiyo e'],evening-view-of-a-temple-in-the-hills,b2b942572f193cd4,2154,1382,1,train
63088,Ukiyo_e/hiroshige_first-cuckoo-of-the-year-at-tsukudajima.jpg,hiroshige,['Ukiyo e'],first-cuckoo-of-the-year-at-tsukudajima,eec91b268599e5a4,1988,1382,1,train
63089,Ukiyo_e/hiroshige_four-swallows.jpg,hiroshige,['Ukiyo e'],four-swallows,eaa44d9c5b12b52e,1381,3085,1,train
63090,Ukiyo_e/hiroshige_grey-mullet-and-camellia.jpg,hiroshige,['Ukiyo e'],grey-mullet-and-camellia,e7d09137e14e18f2,1996,1382,1,train
63091,Ukiyo_e/hiroshige_hakone-kosuizu.jpg,hiroshige,['Ukiyo e'],hakone-kosuizu,cee0a61d5bc4d31a,2074,1382,1,train
63092,Ukiyo_e/hiroshige_hibiscus.jpg,hiroshige,['Ukiyo e'],hibiscus,cb244a6a8f3fb0ac,1870,1382,1,train
63093,Ukiyo_e/hiroshige_hodogaya-shinkame-bashi-station-5.jpg,hiroshige,['Ukiyo e'],hodogaya-shinkame-bashi-station-5,fac0a7127b6ccc29,2135,1382,1,train
63094,Ukiyo_e/hiroshige_in-circle-figure-piece-outdoor.jpg,hiroshige,['Ukiyo e'],in-circle-figure-piece-outdoor,fee0c107e2b49378,1382,2034,1,train
63095,Ukiyo_e/hiroshige_iris.jpg,hiroshige,['Ukiyo e'],iris,cbe9c27416312bcb,1803,1382,1,train
63096,Ukiyo_e/hiroshige_itsukushima-in-aki-province-1858.jpg,hiroshige,['Ukiyo e'],itsukushima-in-aki-province-1858,ea608f31b5cbe0c3,1763,1382,1,train
63097,Ukiyo_e/hiroshige_japanese-triptych-print-showing-japanese-and-foreign-people-walking-along-the-sumida-river.jpg,hiroshige,['Ukiyo e'],japanese-triptych-print-showing-japanese-and-foreign-people-walking-along-the-sumida-river,cbe66031e6c5bb44,2861,1382,1,train
63098,Ukiyo_e/hiroshige_kameyama.jpg,hiroshige,['Ukiyo e'],kameyama,ea6e192d293325e9,2062,1382,1,train
63099,Ukiyo_e/hiroshige_kinryuzan-temple-at-asakusa.jpg,hiroshige,['Ukiyo e'],kinryuzan-temple-at-asakusa,8f6978b4b09aec89,1382,2032,1,train
63100,Ukiyo_e/hiroshige_komokata-hall-and-azuma-bridge-1857.jpg,hiroshige,['Ukiyo e'],komokata-hall-and-azuma-bridge-1857,bf053e17a50f7a80,1382,2038,1,train
63101,Ukiyo_e/hiroshige_kuwana.jpg,hiroshige,['Ukiyo e'],kuwana,c4c48e1b5b6f6e28,2163,1382,1,train
63102,Ukiyo_e/hiroshige_kyobashi-bridge-1858.jpg,hiroshige,['Ukiyo e'],kyobashi-bridge-1858,94a53ca761bc6b58,1382,2183,1,train
63103,Ukiyo_e/hiroshige_matsushima-in-oshu-province.jpg,hiroshige,['Ukiyo e'],matsushima-in-oshu-province,aa70db2b8c4e3c95,1774,1382,1,train
63104,Ukiyo_e/hiroshige_miyanokoshi.jpg,hiroshige,['Ukiyo e'],miyanokoshi,b7f2480bc98e3ec8,2093,1382,1,train
63105,Ukiyo_e/hiroshige_moon-swallows-and-peach-blossoms.jpg,hiroshige,['Ukiyo e'],moon-swallows-and-peach-blossoms,ba1f36394a1633c6,1382,3074,1,train
63106,Ukiyo_e/hiroshige_mountains-in-the-snow.jpg,hiroshige,['Ukiyo e'],mountains-in-the-snow,ad9177ac48a512de,1898,1382,1,train
